ID,Vacancy_name,Salary,Experience,Company_name,Location
35,Инженер ПТО,350 000 – 700 000 ₸ на руки,Опыт 1-3 года,ТОО Сервис Плассер Казахстан,Алматы
36,Инженер ПТО (Производственно-Технический отдел),от 350 000 ₸ до вычета налогов,Опыт 3-6 лет,ТОО SignImpress,Астана
37,Сервисный инженер,от 350 000 ₸ на руки,Опыт 3-6 лет,ТОО Эндомед,Астана
38,Инженер ПТО,400 000 – 450 000 ₸ на руки,Опыт 3-6 лет,ТОО СТРОЙ ЭЛИТ ДОМ,Петропавловск
39,Требуется инженер ПТО,от 550 000 ₸ до вычета налогов,Опыт более 6 лет,ИП Досходжаева Э Ш,Алматы
40,Инженер по технической поддержке,,Опыт 3-6 лет,"ОАО Орика-Казахстан, АО",Караганда
41,Инженер технического сервиса,500 000 – 550 000 ₸ на руки,Опыт 1-3 года,ТОО Максам Казахстан,Костанай
42,Инженер ПТО,350 000 – 450 000 ₸ на руки,Опыт более 6 лет,ТОО СоюзТехСтрой,Алматы
43,Инженер ПТО,от 350 000 ₸ на руки,Опыт 1-3 года,ТОО РААФ-инжиниринг,Астана
44,Инженеры-механики по работе в руднике,до 700 000 ₸ на руки,Опыт более 6 лет,ТОО Астана-Технадзор,Астана
45,Инженер ПТО,350 000 – 500 000 ₸ на руки,Опыт 1-3 года,ТОО Бизнес парк Станица,Алматы
46,Инженер-технолог,250 000 – 265 000 ₸ до вычета налогов,Опыт 3-6 лет,ТОО Алекс,Сарыагаш
47,Ведущий инженер,,Опыт 3-6 лет,ТОО Freedom Telecom Operations,Астана
48,Инженер,,Опыт 3-6 лет,ТОО Сей-Нар,Усть-Каменогорск
49,Инженер ПТО,от 400 000 ₸ до вычета налогов,Опыт 3-6 лет,ТОО DIA Engineering Group,Алматы
50,Главный инженер проекта,от 700 000 ₸ на руки,Опыт 3-6 лет,ТОО АЛАМАН ҚҰРЫЛЫС,Алматы
51,Инженер-проектировщик,от 400 000 ₸ до вычета налогов,Опыт 3-6 лет,ТОО DIA Engineering Group,Алматы
52,Инженер по GPON оборудованию,400 000 – 700 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Bastau Project,Астана
53,Инженер-электрик,,Опыт 1-3 года,ТОО WSE,Астана
54,Инженер-конструктор,,Опыт 1-3 года,ТОО HOFFMANN ENGINEERING AND TRADING (ХОФФМАНН ИНЖИНИРИНГ ЭНД ТРЭЙДИНГ),Алматы
55,Инженер по эксплуатации зданий и сооружений,,Опыт 1-3 года,ТОО Восток Инвест Group,Астана
56,Главный инженер проекта,500 000 – 600 000 ₸ до вычета налогов,Опыт 3-6 лет,ТОО PGS Astana,Актобе
57,Инженер ПТО (на строительный объект),до 550 000 ₸ на руки,Опыт 3-6 лет,ТОО Qazaq Stroy,Астана
58,Инженер,,Опыт 1-3 года,"ASTEL, АО",Караганда
59,Проектный инженер,,Опыт 1-3 года,ТОО Globalink,Алматы
60,Инженер технического надзора,,Опыт 1-3 года,ТОО TUMAR Group,Усть-Каменогорск
61,Инженер-механик,,Опыт 1-3 года,ТОО Sheraton Astana Hotel,Астана
62,Инженер ПТО,от 300 000 ₸ до вычета налогов,Опыт 3-6 лет,ТОО АльянсТраст,Шымкент
63,Инженер ПТО,500 000 – 600 000 ₸ на руки,Опыт более 6 лет,ТОО KTK SERVICE TRUNKS,Шымкент
64,Инженер по Б и ОТ,300 000 – 450 000 ₸ на руки,Опыт 3-6 лет,ТОО Бетон Строй Инвест,Караганда
65,Инженер/техник ПТО,140 000 – 170 000 ₽ на руки,Без опыта,ЗАО ЭнергоСтрой,Кентау (ЮКО)
66,Проектировщик,200 000 – 400 000 ₸ на руки,Опыт 1-3 года,ТОО Испытательная лаборатория Востокэнергосервис (ИЛ ВЭС),Усть-Каменогорск
67,Инженер-конструктор,300 000 – 500 000 ₸ на руки,Опыт 3-6 лет,"АО Машпром, НПП",Алматы
68,Старший инженер,,Опыт 3-6 лет,ТОО Freedom Telecom Operations,Астана
69,Инженер проекта,от 500 000 ₸ до вычета налогов,Опыт 3-6 лет,ТОО Бэст Прайс Казахстан,Астана
70,Инженер ОТ и ТБ,,Опыт 1-3 года,ТОО Диал-Строй,Алматы
71,Сервисный инженер,,Опыт 1-3 года,ТОО РЗА СИСТЕМЗ - KZ (РЗА СИСТЕМЗ – КЕЙ ЗЭТ),Алматы
72,Инженер ПТО,350 000 – 400 000 ₸ на руки,Опыт 3-6 лет,ТОО СТРОЙ ЭЛИТ ДОМ,Костанай
73,Инженер-конструктор,от 500 000 ₸ на руки,Опыт 3-6 лет,"ТОО Фабричные окна, ТМ (Ар-Ал-Ди, ТОО)",Астана
74,Инженер-проектировщик/Технолог,от 350 000 ₸ на руки,Опыт 3-6 лет,ТОО EVS Construction,Астана
75,Инженер- системотехник,от 350 000 ₸ на руки,Опыт более 6 лет,ИП NEWCOMPUTERS,Усть-Каменогорск
76,Инженер ПТО,от 450 000 ₸ на руки,Опыт 3-6 лет,ТОО AUTO SPA MBV,Алматы
77,Инженер-конструктор СПК,от 500 000 ₸ на руки,Опыт 1-3 года,ООО УКС Груп,Астана
78,Инженер-технолог,300 000 – 380 000 ₸ на руки,Опыт 1-3 года,ИП Нур-Тенгри,Каскелен
79,Инженер технической службы,до 350 000 ₸ на руки,Опыт 1-3 года,ТОО KEY ONE,Алматы
80,Инженер ПТО,300 000 – 300 000 ₸ на руки,Опыт 1-3 года,ТОО Pomo Design Center,Алматы
81,Инженер-проектировщик,,Без опыта,ТОО АСЭП,Караганда
82,Инженер ПТО,от 400 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Гауди-Астана,Астана
83,Инженер ОВК в вентиляционную компанию,,Опыт 1-3 года,ТОО VentPlus (Alima trade ),Астана
84,Инженер,190 000 – 250 000 ₸ на руки,Опыт 1-3 года,АО Алма Телекоммуникейшнс Казахстан (ALMA +),Усть-Каменогорск
85,Инженер,от 250 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО CNLC International Kazakhstan Inc.,Алматы
86,Инженер ПТО,350 000 – 500 000 ₸ на руки,Опыт 1-3 года,ТОО ТЕХНО КОМФОРТ,Усть-Каменогорск
87,Инженер ПТО-сметчик,400 000 – 500 000 ₸ на руки,Опыт более 6 лет,ТОО SK QYRULUS,Актобе
88,Инженер БиОТ,,Опыт 3-6 лет,ТОО Qazaq Stroy,Алматы
89,Инженер ПТО,до 400 000 ₸ на руки,Опыт 3-6 лет,ТОО Hayat Construction Group,Алматы
90,Инженер-конструктор по фасадам,от 140 000 ₽ на руки,Опыт 1-3 года,NORDFOX,Алматы
91,Инженер по планированию в Отдел энергетики (Карагандинская область),,Опыт 1-3 года,АО АК Алтыналмас,Караганда
92,"Инженер на производство ЖБИ, инженер по ТБ",300 000 – 350 000 ₸ на руки,Опыт 1-3 года,ТОО Novostroy Group KZ,Отеген-Батыр
93,Инженер-электрик,,Опыт 1-3 года,ТОО Sheraton Astana Hotel,Астана
94,Инженер ПТО,,Опыт 3-6 лет,ТОО B&A Contractors SA,Астана
95,Инженер ПТО,,Опыт 1-3 года,ТОО СМЭУ Астана,Астана
96,Ведущий инженер ПТО (в Россию),825 000 – 1 135 500 ₸ на руки,Опыт 3-6 лет,ЗАО ЭнергоСтрой,Талгар
97,Инженер ПТО,до 350 000 ₸ на руки,Опыт 3-6 лет,ТОО QNP Business partner,Караганда
98,Инженер по ОТ и ТБ,,Опыт 1-3 года,ТОО Диал-Строй,Алматы
99,Инженер ПТО,,Опыт 3-6 лет,ТОО NS QURYLYS GROUP,Астана
100,Инженер ПТО,300 000 – 450 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО PGS Astana,Актобе
101,Инженер по ремонту,,Опыт 1-3 года,Некоммерческое акционерное общество Карагандинский медицинский университет,Караганда
102,Инженер-дорожник,350 000 – 400 000 ₸ на руки,Опыт более 6 лет,ТОО ABK Construction Group,Аркалык
103,Инженер,300 000 – 400 000 ₸ на руки,Опыт 3-6 лет,ТОО Recrutoman,Астана
104,Инженер в Отдел спутниковых технологий,,Опыт 3-6 лет,"ASTEL, АО",Алматы
105,Инженер ПТО по ОВиВК,,Опыт 1-3 года,ТОО B&A Contractors SA,Астана
106,Инженер ПТО,300 000 – 350 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО PGS Astana,Атырау
107,Инженер ПТО,,Опыт 1-3 года,ТОО Comfort XPRO,Астана
108,Инженер,от 280 000 ₸ на руки,Опыт 1-3 года,ТОО Alsi Group,Астана
109,Инженер-проектировщик,,Опыт 1-3 года,ТОО 4HQ Construction,Караганда
110,Ведущий инженер ПТО (ВАХТА В РОССИИ),825 000 – 1 135 500 ₸ на руки,Опыт 3-6 лет,ЗАО ЭнергоСтрой,Уральск
111,Ведущий инженер ПТО (ВАХТА В РОССИИ),825 000 – 1 135 500 ₸ на руки,Опыт 3-6 лет,ЗАО ЭнергоСтрой,Кызылорда
112,Инженер BSS,,Опыт 1-3 года,"Beeline, ТМ",Костанай
113,Ведущий инженер ПТО (ВАХТА В РОССИИ),825 000 – 1 135 500 ₸ на руки,Опыт 3-6 лет,ЗАО ЭнергоСтрой,Павлодар
114,Ведущий инженер ПТО (ВАХТА В РОССИИ),825 000 – 1 135 500 ₸ на руки,Опыт 3-6 лет,ЗАО ЭнергоСтрой,Костанай
115,Ведущий инженер,,Опыт 3-6 лет,АО Институт КазНИПИЭнергопром,Алматы
116,Инженер,от 235 000 ₸ до вычета налогов,Опыт 1-3 года,АО Казтелерадио,Костанай
117,Помощник инженера в компанию Rofas,300 000 – 500 000 ₸ на руки,Без опыта,ТОО Rofas Construction,Алматы
118,Инженер (Алматы),до 250 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО НСТ плюс,Алматы
119,Ведущий инженер,400 000 – 500 000 ₸ до вычета налогов,Опыт более 6 лет,ТОО НАСЕ-РЗА,Алматы
120,Инженер по эксплуатации,350 000 – 400 000 ₸ до вычета налогов,Опыт 1-3 года,ЧК BI Development Ltd.,Атырау
121,Инженер BSS,,Опыт 1-3 года,"Beeline, ТМ",Шымкент
122,Инженер,,Опыт 1-3 года,АО Институт КазНИПИЭнергопром,Алматы
123,Инженер,300 000 – 400 000 ₸ до вычета налогов,Опыт 3-6 лет,ТОО DataMatrix Corp,Караганда
124,Инженер NOC,,Опыт 1-3 года,АО Kcell,Алматы
125,Инженер,от 250 000 ₸ на руки,Без опыта,ТОО НСТ плюс,Астана
126,Инженер,от 250 000 ₸ до вычета налогов,Опыт 1-3 года,Гос. корп. Институт ядерной физики,Алматы
127,Инженер,от 300 000 ₸ на руки,Опыт более 6 лет,ТОО ЭСЦВМ,Алматы
128,Инженер (Шымкент),от 250 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО НСТ плюс,Шымкент
129,Инженер,от 250 000 ₸ на руки,Опыт 3-6 лет,ТОО BAcom,Петропавловск
130,Инженер,700 000 – 800 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Универсал,Астана
131,Инженер ПТО,500 000 – 650 000 ₸ на руки,Опыт 3-6 лет,ТОО FS Development Group,Туркестан
132,Инженер-монтажник,100 000 – 170 000 ₸ на руки,Без опыта,ИП Esetmontazh,Актобе
133,Главный инженер проекта(конструктор),,Опыт более 6 лет,ТОО PRO Space,Астана
134,Старший сетевой инженер,до 500 000 ₸ на руки,Опыт 1-3 года,ТОО BigData Lab,Алматы
135,Инженер - проектировщик по организации дорожного движения,от 600 000 ₸ на руки,Опыт 3-6 лет,ТОО UNIVERSAL TECH DECISIONS,Астана
136,Специалист по безопасности приложений (AppSec Engineer),,Опыт 3-6 лет,ТОО Freedom Technologies,Алматы
137,Главный архитектор проекта(ГАП),,Опыт более 6 лет,ТОО PRO Space,Алматы
138,Инженер технической поддержки,150 000 – 150 000 ₸ до вычета налогов,Без опыта,ТОО Кафе Софт KZ,Караганда
139,Персональный водитель руководителя,от 300 000 ₸ на руки,Опыт 3-6 лет,ТОО ENGINEERING AND CONSTRUCTION GROUP,Астана
140,Заведующий производством,650 000 – 650 000 ₸ на руки,Опыт 3-6 лет,ТОО Feed Trade,Каскелен
141,Экономист,от 350 000 ₸ до вычета налогов,Опыт 3-6 лет,ТОО ENGINEERING AND CONSTRUCTION GROUP,Астана
142,Инженер - монтажник GPS,400 000 – 400 000 ₸ на руки,Опыт 1-3 года,ТОО «Контроль Техники»,Астана
143,Главный инженер проекта (по инженерным сетям),,Опыт более 6 лет,ТОО PRO Space,Алматы
144,Инженер-монтажник для установки GPS,400 000 – 400 000 ₸ на руки,Опыт 1-3 года,ТОО «Контроль Техники»,Алматы
145,Search Quality Improvement Specialist (Turkish and English languages),,Без опыта,Яндекс Крауд: Качество продуктов,Алматы
146,Инженер/Технический специалист по сельхозтехнике,,Опыт более 6 лет,ТОО Alem Agro Holding (АлемАгро Холдинг),Астана
147,IT-инженер,250 000 – 250 000 ₸ на руки,Опыт 1-3 года,ТОО Begemot Almaty,Алматы
148,Инженер-электрик (электробезопасность свыше 1000В),380 000 – 400 000 ₸ на руки,Опыт 3-6 лет,"ТОО ALL for PRESS (ОЛФО-ПРЕСС), ТОО",Алматы
149,Инженер по теплогазоснабжению,до 410 000 ₸ на руки,Опыт 1-3 года,АО Aitas KZ,Усть-Каменогорск
150,Ведущий Инженер-конструктор,,Опыт 3-6 лет,ТОО Астанинский электротехнический завод,Астана
151,Инженер ПТО,,Опыт 1-3 года,ТОО 4HQ Construction,Караганда
152,Инженер по оборудованию,,Опыт 1-3 года,ТОО ИНЖИНИРИНГОВАЯ КОМПАНИЯ КАЗГИПРОНЕФТЕТРАНС,Алматы
153,Инженер производственно-технической службы,,Опыт 3-6 лет,ТОО Tau-ken Temir,Караганда
154,Инженер ПТО,от 300 000 ₸ на руки,Опыт 1-3 года,ТОО Power Engineering Group,Алматы
155,Инженер ПТО,,Опыт 3-6 лет,ПОО Vostok Trade Limited Liability Partnership,Шымкент
156,Инженер ПТО,,Опыт 3-6 лет,ТОО Art Building Group,Алматы
157,Сервисный инженер,,Опыт 3-6 лет,ТОО HITED,Алматы
158,Инженер КИПиА ПНР,300 000 – 450 000 ₸ на руки,Опыт 3-6 лет,ТОО ASCALE GROUP,Астана
159,Инженер-строитель,,Опыт более 6 лет,ТОО Институт инженерного проектирования,Астана
160,Ведущий инженер ПТО (ВАХТА В РОССИИ),825 000 – 1 135 500 ₸ на руки,Опыт 3-6 лет,ЗАО ЭнергоСтрой,Атырау
161,Главный инженер слаботочных систем,,Опыт 3-6 лет,ТОО KSENGINEERING (КСИНЖИНИРИНГ),Алматы
162,Ведущий инженер-строитель,,Опыт 3-6 лет,ТОО Tau-ken Temir,Караганда
163,Инженер планово-производственного отдела,450 000 – 450 000 ₸ на руки,Опыт 1-3 года,ТОО WSE,Астана
164,Ведущий инженер ПТО,,Опыт 3-6 лет,ТОО ELECTRASTANDART (ЭЛЕКТРАСТАНДАРТ),Астана
165,Инженер КИПиА / Инженер техник по насосному/пожарному оборудованию,,Опыт 3-6 лет,ТОО Жігер Инжиниринг,Астана
166,Главный инженер,,Опыт более 6 лет,АО Qarmet,Темиртау
167,Инженер-строитель на завод,,Опыт 3-6 лет,ТОО YDA INŞAAT SANAYI VE TICARET ANONIM SIRKETI,Астана
168,Инженер (Splunk),,Опыт 1-3 года,ТОО ALG Innovations,Астана
169,Инженер энергетик планово-предупредительного ремонта,,Опыт 3-6 лет,ТОО Tau-ken Temir,Караганда
170,Инженер ПТО,от 450 000 ₸ на руки,Опыт 1-3 года,ТОО ЖАРҚЫН -БЖК,Алматы
171,Инженер ПТО ОВ и ВК,400 000 – 400 000 ₸ на руки,Без опыта,ТОО АстанаПромИнжиниринг,Астана
172,Инженер ПТО (инженер производственно-технического отдела),от 300 000 ₸ до вычета налогов,Опыт 1-3 года,"ТОО Карагандинский турбомеханический завод, ТОО",Караганда
173,Технический специалист/инженер по проектированию ОВиК,от 400 000 ₸ на руки,Опыт 1-3 года,ТОО ДАИЧИ Казахстан,Алматы
174,Инженер-технолог (металлообработка),300 000 – 500 000 ₸ на руки,Без опыта,ТОО Фирма Райд,Астана
175,Инженер-проектировщик (технической поддержки),,Опыт 1-3 года,АО ДКС,Астана
176,Инженер по техническому обслуживанию,от 500 000 ₸ на руки,Опыт 1-3 года,ТОО IC Lab,Астана
177,Ведущий инженер Технического Отдела,до 1 500 000 ₸ на руки,Опыт 3-6 лет,ТОО САПСАН,Атырау
178,Третий инженер,,Опыт 1-3 года,Частное учреждение Samruk Business Academy,Актау
179,Инженер AppDynamics,,Опыт 1-3 года,ТОО ALG Innovations,Астана
180,Главный инженер производства,,Опыт 1-3 года,ТОО Научно-производственная фирма Пружина,Костанай
181,Инженер/техник ПТО,140 000 – 170 000 ₽ на руки,Без опыта,ЗАО ЭнергоСтрой,Сатпаев
182,Инженер ПТО,от 300 000 ₸ на руки,Опыт 1-3 года,ТОО СРБ-L,Алматы
183,Инженер-проектировщик,,Опыт 3-6 лет,ТОО Kazmintech Engineering,Алтай (Зыряновск)
184,Инженер ПТО,300 000 – 350 000 ₸ на руки,Опыт 1-3 года,ТОО NUR-ELECTRO MONTAGE,Астана
185,Инженер-дозиметрист,от 220 000 ₸ на руки,Без опыта,Гос. корп. Институт ядерной физики,Алматы
186,Инженер производства (пластиковые изделия),от 800 000 ₸ до вычета налогов,Опыт 1-3 года,ИП HR Компания «CHANGE» (ИП Куприянова),Астана
187,Инженер-механик,430 000 – 440 000 ₸ на руки,Опыт 3-6 лет,АО Aitas KZ,Макинск
188,"Ведущий инженер-механик, Алматы",,Опыт 1-3 года,ТОО Carlsberg Kazakhstan,Алматы
189,Главный инженер,,Опыт 3-6 лет,ТОО Star Brands Asia (Стар Брэндс Азия),Есик
190,Третий инженер,,Опыт 1-3 года,Частное учреждение Samruk Business Academy,Атырау
191,Инженер ПТО,132 000 – 152 000 ₽ на руки,Опыт 1-3 года,ИП Жукова Екатерина Сергеевна,Астана
192,Инженер ПТО,,Опыт 1-3 года,BI GLOBAL,Петропавловск
193,Главный инженер судна,,Опыт 1-3 года,Частное учреждение Samruk Business Academy,Атырау
194,Инженер ПТО,132 000 – 152 000 ₽ на руки,Опыт 1-3 года,ИП Жукова Екатерина Сергеевна,Алматы
195,Главный инженер судна,,Опыт 1-3 года,Частное учреждение Samruk Business Academy,Актау
196,Инженер ПТО,350 000 – 400 000 ₽ на руки,Опыт 3-6 лет,ТОО САРТАЙ ЭНЕРГО СЕРВИС,Актау
197,Инженер-конструктор,,Опыт 1-3 года,ТОО Кайнар-АКБ,Талдыкорган
198,Техник/Инженер ПТО (в России),100 000 – 145 000 ₽ на руки,Без опыта,ЗАО ЭнергоСтрой,Риддер (ВКО)
199,Инженер-геотехник,,Опыт 1-3 года,ООО Восточная горнорудная компания,Усть-Каменогорск
200,Инженер аэродромной службы,от 150 000 ₸ на руки,Опыт 1-3 года,ТОО Международный Аэропорт ОРАЛ,Уральск
201,Инженер-геотехник,,Опыт 1-3 года,ООО Восточная горнорудная компания,Риддер (ВКО)
202,Инженер-технолог,от 250 000 ₸ на руки,Опыт 1-3 года,ТОО Энергостан,Астана
203,Инженер по вентсистемам,,Опыт 3-6 лет,ТОО Ульба-ТВС,Усть-Каменогорск
204,Инженер-конструкор,300 000 – 500 000 ₸ до вычета налогов,Опыт 3-6 лет,ТОО ПКФ Семей Сталь Сервис,Семей
205,Инженер-технолог,от 180 000 ₸ до вычета налогов,Опыт 3-6 лет,ТОО JASYL SUYQ QAZAQSTAN,Туркестан
206,Инженер ПТО,250 000 – 350 000 ₸ на руки,Опыт 1-3 года,ТОО SPM Electro,Костанай
207,Инженер электротехнической лаборатории,200 000 – 200 000 ₸ до вычета налогов,Опыт 1-3 года,АО ЗИКСТО,Петропавловск
208,Инженер ОТК,от 300 000 ₸ до вычета налогов,Опыт 3-6 лет,ТОО Электромашинное двигательное производство,Алматы
209,Инженер ПТО,250 000 – 300 000 ₸ на руки,Опыт 1-3 года,ТОО SPM Electro,Алматы
210,Инженер ПТО,300 000 – 350 000 ₸ до вычета налогов,Без опыта,ТОО ЛИК-Атырау,Тараз
211,Инженер ПТО,300 000 – 450 000 ₽ на руки,Опыт 3-6 лет,ТОО Grappa-STROY,Экибастуз
212,Инженер ПТО,600 000 – 800 000 ₸ на руки,Опыт 1-3 года,ТОО Конструктив строй,Алматы
213,Инженер-проектировщик,,Опыт 1-3 года,ТОО Богатырь Комир,Экибастуз
214,Инженер ПТО,400 000 – 500 000 ₸ на руки,Опыт 1-3 года,ТОО TOLAGAI-2050,Астана
215,Сервисный инженер (БВР/ Epiroc),300 000 – 400 000 ₽ на руки,Опыт 1-3 года,ООО ВиЭй сервисиз,Астана
216,Инженер-Технолог,,Опыт 3-6 лет,ТОО PETROTAS,Астана
217,Инженер по оборудованию,,Опыт 3-6 лет,АО КЕЛЕТ,Алматы
218,Инженер технического отдела,,Опыт 1-3 года,Таврида Электрик Астана,Астана
219,Инженер технического отдела,,Опыт 1-3 года,Таврида Электрик Астана,Алматы
220,Инженер-проектировщик,,Опыт 1-3 года,ТОО Проманалит,Павлодар
221,Инженер технолог,200 000 – 350 000 ₸ на руки,Опыт 1-3 года,ТОО REIMANN (РАЙМАНН),Петропавловск
222,Инженер ПТО,,Опыт 1-3 года,ТОО SATOM CONSTRUCTION,Актобе
223,Инженер ПТО,350 000 – 500 000 ₸ на руки,Опыт 1-3 года,ТОО Корпорация Астана - Стройинвест,Астана
224,Инженер ПТО,от 200 000 ₽ на руки,Опыт 1-3 года,ООО АТЭК-СТРОЙ,Астана
225,Сервисный инженер,,Опыт 3-6 лет,ТОО СЖС Казахстан ЛТД,Балхаш
226,Инженер ПТО,от 400 000 ₸ на руки,Опыт 3-6 лет,ТОО ТАЛГАР-2000,Алматы
227,Ведущий инженер,,Опыт 1-3 года,АО Народный банк Казахстана,Костанай
228,Инженер ПТО,350 000 – 400 000 ₸ на руки,Опыт 1-3 года,ТОО Alem Construct,Тараз
229,Инженер ПТО/инженер - сметчик,от 300 000 ₸ на руки,Опыт 1-3 года,ТОО ЭксклюзивСтрой,Костанай
230,Инженер ПТО,от 450 000 ₸ на руки,Опыт 1-3 года,ТОО Элитстрой Алматы,Алматы
231,Инженер ПТО,200 000 – 200 000 ₸ на руки,Опыт 3-6 лет,ТОО Caspian Estate Construction,Атырау
232,Инженер отдела технического развития,338 000 – 840 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Торговый дом СТЗ Арыстан,Астана
233,Инженер проекта,,Опыт 3-6 лет,Частное учреждение Samruk Business Academy,Актау
234,Инженер ПТО,,Опыт 3-6 лет,ТОО KT Group kz,Алматы
235,Инженер проекта,,Опыт 3-6 лет,Частное учреждение Samruk Business Academy,Астана
236,Инженер ПТО,300 000 – 400 000 ₸ на руки,Опыт 3-6 лет,ТОО Пырақ-Құрылыс,Тараз
237,Инженер проекта,,Опыт 3-6 лет,Частное учреждение Samruk Business Academy,Атырау
238,Инженер ПТО,,Опыт 3-6 лет,ТОО ПК Алтын Таға,Алматы
239,Инженер ПТО,до 400 000 ₸ до вычета налогов,Опыт 3-6 лет,ТОО KRG STROY,Астана
240,Инженер ПТО,300 000 – 500 000 ₸ на руки,Опыт 1-3 года,ТОО Эквадор,Астана
241,Инженер ПТО,,Опыт 1-3 года,Таврида Электрик Астана,Астана
242,Инженер ПТО,200 000 – 260 000 ₽ на руки,Опыт 1-3 года,ООО ИркутскСтройАутсорсинг,Уральск
243,Инженер конструктор,275 000 – 400 000 ₸ на руки,Без опыта,ТОО АЛПРОФ,Астана
244,Инженер-проектировщик,350 000 – 700 000 ₸ на руки,Опыт 1-3 года,ИП HR Компания «CHANGE» (ИП Куприянова),Алматы
